"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"07.07.2020","1,1270","1,1308","1,1334","1,1258","","-0,34%"
"08.07.2020","1,1329","1,1273","1,1352","1,1262","","0,52%"
"09.07.2020","1,1281","1,1329","1,1372","1,1279","","-0,42%"
"10.07.2020","1,1298","1,1285","1,1326","1,1255","","0,15%"
"13.07.2020","1,1340","1,1300","1,1375","1,1297","","0,37%"
"14.07.2020","1,1396","1,1343","1,1409","1,1324","","0,49%"
"15.07.2020","1,1410","1,1400","1,1452","1,1391","","0,12%"
"16.07.2020","1,1383","1,1411","1,1443","1,1370","","-0,24%"
"17.07.2020","1,1426","1,1384","1,1444","1,1377","","0,38%"
"20.07.2020","1,1444","1,1410","1,1468","1,1401","","0,16%"
"21.07.2020","1,1526","1,1447","1,1540","1,1422","","0,72%"
"22.07.2020","1,1568","1,1528","1,1602","1,1507","","0,36%"
"23.07.2020","1,1594","1,1575","1,1628","1,1539","","0,22%"
"24.07.2020","1,1654","1,1597","1,1659","1,1580","","0,52%"
"27.07.2020","1,1751","1,1646","1,1782","1,1637","","0,83%"
"28.07.2020","1,1714","1,1753","1,1774","1,1698","","-0,31%"
"29.07.2020","1,1790","1,1718","1,1807","1,1714","","0,65%"
"30.07.2020","1,1846","1,1788","1,1849","1,1731","","0,47%"
"31.07.2020","1,1774","1,1846","1,1910","1,1760","","-0,61%"
"03.08.2020","1,1761","1,1783","1,1797","1,1696","","-0,11%"
"04.08.2020","1,1800","1,1765","1,1807","1,1720","","0,33%"
"05.08.2020","1,1861","1,1802","1,1906","1,1793","","0,52%"
"06.08.2020","1,1875","1,1863","1,1917","1,1818","","0,12%"
"07.08.2020","1,1786","1,1877","1,1884","1,1755","","-0,75%"
"10.08.2020","1,1736","1,1788","1,1803","1,1736","","-0,42%"
"11.08.2020","1,1739","1,1738","1,1808","1,1722","","0,03%"
"12.08.2020","1,1782","1,1740","1,1816","1,1710","","0,37%"
"13.08.2020","1,1812","1,1786","1,1865","1,1781","","0,25%"
"14.08.2020","1,1841","1,1815","1,1852","1,1782","","0,25%"
"17.08.2020","1,1869","1,1840","1,1882","1,1829","","0,24%"
"18.08.2020","1,1929","1,1870","1,1967","1,1865","","0,51%"
"19.08.2020","1,1836","1,1931","1,1954","1,1830","","-0,78%"
"20.08.2020","1,1859","1,1839","1,1869","1,1802","","0,19%"
"21.08.2020","1,1795","1,1860","1,1883","1,1754","","-0,54%"
"24.08.2020","1,1787","1,1787","1,1851","1,1783","","-0,07%"
"25.08.2020","1,1833","1,1793","1,1845","1,1783","","0,39%"
"26.08.2020","1,1829","1,1834","1,1841","1,1772","","-0,03%"
